CUSTOMER_ID,LOYALTY_NBR,FIRST_NAME,LAST_NAME,CUSTOMER_NAME,COUNTRY,STATE_NAME,STATE_CODE,CITY,LATITUDE,LONGITUDE,POSTAL_CODE,GENDER,EDUCATION,LOCATION_CODE,INCOME,MARITAL_STATUS,CREDIT_CARD_TYPE,CREDIT_CARD_NUMBER,CREDIT_CARD_CVV,CREDIT_CARD_EXPIRY
1016553,334658,Jeffery,Karol,Jeffery Karol,United States,Colorado,CO,Denver,39.739236,-104.990251,80287,male,College,Urban,0,Single,AMEX,371023766809944,1991,1970-07-22
1016362,331992,Karl,Touchette,Karl Touchette,Canada,Quebec,QC,Montreal,45.501689,-73.567256,H4G 3T4,female,College,Rural,0,Married,AMEX,370280550682801,550,1970-08-22
1016364,331997,Sherri,Dossie,Sherri Dossie,United Kingdom,West Midlands,LZ,Birmingham,52.486243,-1.890401,B2 4LS,female,Doctor,Rural,21986,Divorced,AMEX,370110283268596,3996,1970-05-22
1016366,332006,Kelsie,Thammavong,Kelsie Thammavong,Germany,Nordrhein-Westfalen,NW,Dusseldorf,51.227741,6.773456,40595,male,Bachelor,Rural,29195,Divorced,AMEX,370357156357655,6822,1970-01-22
1016368,332036,Alfonso,Whitcome,Alfonso Whitcome,Germany,Hessen,HE,Frankfurt,50.110922,8.682127,60320,male,Bachelor,Suburban,20757,Single,AMEX,370092001308054,1287,1970-08-22
1016371,332060,Donnell,Kautzman,Donnell Kautzman,United States,Colorado,CO,Boulder,40.014986,-105.270546,80332,female,Doctor,Suburban,19851,Married,AMEX,370183987691785,2854,1970-05-22
1016373,332077,Stephani,Haran,Stephani Haran,Canada,Ontario,ON,Thunder Bay,48.380895,-89.247682,K8T 5M5,female,Bachelor,Suburban,46897,Married,AMEX,370098473005649,8879,1970-10-22
1016375,332153,Rochell,Choice,Rochell Choice,United States,Florida,FL,Miami,25.76168,-80.19179,33168,male,Bachelor,Rural,62566,Married,AMEX,370115969597630,5969,1970-05-22
1016377,332175,Meri,Giovinco,Meri Giovinco,Canada,Ontario,ON,Toronto,43.653226,-79.383184,P1W 1K4,male,College,Rural,0,Single,AMEX,370598083935135,1443,1970-06-22
1016379,332187,Gerald,Lona,Gerald Lona,United Kingdom,Brighton and Hove,JI,Eley Drive,50.816015,-0.065917,BN2 7FG,male,Bachelor,Rural,60120,Married,AMEX,370134787278257,2212,1970-10-22
